time,eastward_wind_velocity,northward_wind_velocity
3693285566,-1.289999962,-4.28000021
3693285631,-2.230000019,-4.070000172
3693285695,-1.440000057,-4.400000095
3693285760,-3.099999905,-4.090000153
3693285824,-1.809999943,-4.260000229
3693285856,-3.190000057,-3.609999895
3693285921,-1.970000029,-4.639999866
3693285985,-2.400000095,-4.300000191
3693286049,-2.890000105,-3.130000114
3693286114,-3.539999962,-3.700000048
3693286179,-3.049999952,-4.090000153
3693286243,-1.620000005,-3.089999914
3693286276,-2.359999895,-3.359999895
3693286341,-2.329999924,-4.909999847
3693286405,-2.400000095,-3.940000057
3693286469,-2.180000067,-3.829999924
3693286533,-1.850000024,-3.960000038
3693286598,-1.610000014,-4.869999886
3693286662,-3.029999971,-4.659999847
3693286696,-2.5,-3.660000086
3693286761,-2.670000076,-3.5
3693286824,-3.450000048,-3.440000057
3693286888,-3.230000019,-3.549999952
3693286952,-3.779999971,-2.74000001
3693287017,-3.75999999,-3.049999952
3693287081,-4.25,-3.400000095
3693287116,-3.349999905,-4.400000095
3693287177,-2.349999905,-4.639999866
3693287241,-3.049999952,-3.75
3693287306,-3.25999999,-3.980000019
3693287370,-2.74000001,-4.539999962
3693287436,-2.869999886,-4.260000229
3693287501,-2.460000038,-4.300000191
3693287565,-2.589999914,-3.680000067
3693287597,-2.269999981,-4.929999828
3693287661,-3.24000001,-3.700000048
3693287726,-2.210000038,-3.470000029
3693287790,-2.460000038,-4.059999943
3693287854,-2.460000038,-4.949999809
3693287919,-3.059999943,-4.5
3693287983,-2.75,-4.789999962
3693288016,-3.940000057,-4.269999981
3693288079,-3.74000001,-3.680000067
3693288144,-3.289999962,-3.630000114
3693288208,-2.799999952,-4.03000021
3693288273,-3.019999981,-4.050000191
3693288337,-3.880000114,-3.700000048
3693288401,-4.449999809,-3.769999981
3693288436,-2.720000029,-4.269999981
3693288497,-4.590000153,-3.480000019
3693288561,-2.980000019,-3.529999971
3693288625,-3.269999981,-4.079999924
3693288691,-3.160000086,-3.329999924
3693288756,-4.110000134,-4.769999981
3693288820,-3.069999933,-3.650000095
3693288884,-4.019999981,-3.460000038
3693288916,-3.599999905,-4.070000172
3693288981,-3.289999962,-3.460000038
3693289045,-2.640000105,-5.119999886
3693289110,-2.710000038,-4.300000191
3693289174,-3.920000076,-3.339999914
3693289241,-4.400000095,-3.970000029
3693289306,-4.150000095,-4.099999905
3693289339,-2.859999895,-3.630000114
3693289403,-4.010000229,-4.460000038
3693289467,-2.829999924,-4.769999981
